t,phi_conc,agency_ret,reciprocity_med,entropy_grad
0,0.010344773951236386,0.0725,0.03,0.14795588616304264
1,0.010517957290682141,0.905,0.03,0.1338774287036549
2,0.01060441196289603,1.0,0.03,0.12037839541090549
3,0.010638554113617532,1.0,0.03,0.10940921536937834
4,0.010640738696079597,1.0,0.03,0.098944202392573
5,0.010627312622479217,1.0,0.029099999999999997,0.09078570665883565
6,0.010607878107398157,1.0,0.029099999999999997,0.0827824700437299
7,0.01058364239419574,1.0,0.03,0.07609605743237405
8,0.010560318817875053,1.0,0.03,0.06958639632620083
9,0.01053689311307105,1.0,0.05232080507099999,0.063750541834648
10,0.01051304450566661,1.0,0.05236935014786999,0.059227430865755444
11,0.010487600582819789,1.0,0.053142210770999995,0.056144961696083906
12,0.01046581296235429,1.0,0.05351230078313088,0.052198549577952426
13,0.010443453252289068,1.0,0.054862020771,0.04874955092085512
14,0.0104206203854884,1.0,0.058226999999999994,0.04571857610953188
15,0.010400496306112979,1.0,0.0704894460147273,0.04337703048517485
16,0.010380190041235065,1.0,0.0721242299212817,0.04108789183875532
17,0.010361048232213994,1.0,0.07358176589949024,0.03864044004486174
18,0.01034171569909679,1.0,0.07546220915028173,0.037018627500026303
19,0.01032313722781144,1.0,0.07897818091886999,0.035399328020427646
20,0.010305758640006603,1.0,0.08483229098576396,0.03372989130146514
21,0.010289159085351635,1.0,0.08819296595247511,0.03226316588852911
22,0.010273743976180022,1.0,0.09056567173591051,0.03150362212822473
23,0.01025824569133025,1.0,0.09327750852694089,0.030811095976732025
24,0.010243718411712626,1.0,0.09659332618787246,0.030617765968255203
25,0.010229671055623986,1.0,0.09969180904175388,0.02953311046205725
26,0.010216472059253436,1.0,0.1026925037765225,0.028327734842296014
27,0.010204646752451394,1.0,0.10536018029475969,0.027277603450429306
28,0.010193299045442982,1.0,0.10779345221712908,0.02112976372832196
29,0.010182316161266532,1.0,0.1108484531381717,0.003494822249769311
30,0.010171635791671583,1.0,0.11340014118087846,0.0
31,0.010161277190220933,1.0,0.11590329617682014,0.0
32,0.010152145025201143,1.0,0.1184738138255868,0.0
33,0.010143030039601557,1.0,0.12075452957208006,0.0
34,0.010134536718583134,1.0,0.12302230023430155,0.0
35,0.010127267543586187,1.0,0.12532338795424863,0.0
36,0.010120956287050717,1.0,0.12771014517787374,0.0
37,0.010114860747168648,1.0,0.12980225704105014,0.0
38,0.010108949185897262,1.0,0.13167801428539347,0.0
39,0.010103555729115579,1.0,0.13379478488894844,0.0
40,0.010098402381205168,1.0,0.13583093513104383,0.0
41,0.01009323553411404,1.0,0.13774131634580705,0.0
42,0.010088320860296868,1.0,0.13953368916771663,0.0
43,0.010083390382715012,1.0,0.14124388815089223,0.0
44,0.010078860297868702,1.0,0.14295004030389782,0.0
45,0.010074298008195547,1.0,0.14451278161227307,0.0
46,0.010070142541532748,1.0,0.1461596449503198,0.0
47,0.01006724986479179,1.0,0.14769485640036362,0.0
48,0.010063554123004165,1.0,0.14917409728900455,0.0
49,0.010060146510836043,1.0,0.1506025110755531,0.0
50,0.01005745491691664,1.0,0.15216496154635817,0.0
51,0.01005516370576648,1.0,0.15338139470173628,0.0
52,0.0100529362978261,1.0,0.15495916833149,0.0
53,0.01005138513054742,1.0,0.15611468607177975,0.0
54,0.010050155850191995,1.0,0.15732518455153754,0.0
55,0.010049181630745757,1.0,0.15848562753060944,0.0
56,0.010048446525309259,1.0,0.15979955438712706,0.0
57,0.010048602001185094,1.0,0.16088054516030903,0.0
58,0.010048127448612196,1.0,0.16211847344033908,0.0
59,0.010047849071846337,1.0,0.16320094213479847,0.0
60,0.010046714955000164,1.0,0.1643242720696607,0.0
61,0.010045766056217882,1.0,0.1651931923129918,0.0
62,0.010044994286315043,1.0,0.16629688279200822,0.0
63,0.010044464344055159,1.0,0.16719952267944738,0.0
64,0.010043251837885825,1.0,0.16804385533870175,0.0
65,0.010041781468898281,1.0,0.16902378398012247,0.0
66,0.010040285854058962,1.0,0.16993428535658286,0.0
67,0.010039273344220176,1.0,0.17084910465775272,0.0
68,0.010037766476706626,1.0,0.17144132419248714,0.0
69,0.010036702912598562,1.0,0.17219583704923763,0.0
70,0.010035670396064436,1.0,0.1728660179674728,0.0
71,0.010035270606848485,1.0,0.17373514040940247,0.0
72,0.010034984445025836,1.0,0.17450706655867337,0.0
73,0.010035244600555443,1.0,0.17524192122860893,0.0
74,0.010034832705496058,1.0,0.175739411549572,0.0
75,0.010034549290762975,1.0,0.1766194121939215,0.0
76,0.010034092898222612,1.0,0.17728667230909792,0.0
77,0.010034634782282418,1.0,0.1778745935404629,0.0
78,0.010035329242439656,1.0,0.17857711589886918,0.0
79,0.010035968485721752,1.0,0.17926600842953588,0.0
80,0.010036316076134673,1.0,0.17995760821817414,0.0
81,0.010036605614254719,1.0,0.18039987509864405,0.0
82,0.010036626750195893,1.0,0.18094996666480745,0.0
83,0.010036511584831652,1.0,0.18140454184376056,0.0
84,0.01003626887283667,1.0,0.18204090059062258,0.0
85,0.010035944553542318,1.0,0.18275023696971904,0.0
86,0.010035539618626368,1.0,0.1830025001602672,0.0
87,0.010034809836126186,1.0,0.1833432389434465,0.0
88,0.010033960486879656,1.0,0.18381627811160545,0.0
89,0.010033271664993258,1.0,0.18416338098999097,0.0
90,0.010032190542480323,1.0,0.18469112157317127,0.0
91,0.010031379692387998,1.0,0.1849903706212924,0.0
92,0.010030837250246914,1.0,0.18527362150270074,0.0
93,0.010030111283986294,1.0,0.18603778982095598,0.0
